sent_id	token_id	upos	head	deprel	lang
train-s1	1	PRON	2	nsubj	en
train-s1	2	VERB	0	root	en
train-s1	3	NOUN	4	nsubj	hi
train-s1	4	ADJ	2	ccomp	en
train-s1	5	AUX	4	cop	hi
train-s1	6	PART	7	advmod	hi
train-s1	7	NOUN	2	advcl	en
train-s1	8	AUX	7	cop	hi
train-s2	1	PRON	6	nsubj	hi
train-s2	2	NOUN	6	obl	en
train-s2	3	ADP	4	case	en
train-s2	5	ADP	2	case	hi
train-s2	6	VERB	0	root	hi
train-s2	7	AUX	6	aux	hi
train-s2	8	AUX	6	aux	hi
train-s2	9	CCONJ	12	cc	en
train-s2	10	PRON	12	nsubj	en
train-s2	11	AUX	12	aux	en
train-s2	12	VERB	6	conj	en
train-s2	13	ADV	12	advmod	en
train-s2	14	ADP	16	case	en
train-s2	15	DET	16	det	en
train-s2	16	NOUN	12	obl	en
train-s3	2	DET	3	det	en
train-s3	3	NOUN	10	nsubj	en
train-s3	4	PRON	5	nsubj	en
train-s3	5	VERB	3	acl	en
train-s3	6	NOUN	7	compound	en
train-s3	7	NOUN	5	obj	en
train-s3	8	AUX	10	cop	en
train-s3	10	VERB	0	root	hi
train-s3	11	AUX	10	aux	hi
train-s3	12	NOUN	14	nmod	en
train-s3	13	ADP	12	case	hi
train-s3	14	NOUN	10	obj	hi
train-s3	15	ADV	17	advmod	hi
train-s3	16	NOUN	17	compound	en
train-s3	17	VERB	10	advcl	hi
train-s3	18	AUX	17	aux	hi
train-s4	2	NOUN	7	nmod	en
train-s4	3	ADP	2	case	hi
train-s4	5	ADP	4	case	hi
train-s4	6	PART	4	advmod	hi
train-s4	7	NOUN	0	root	hi
train-s4	8	AUX	7	cop	hi
train-s4	10	PART	11	advmod	en
train-s4	11	ADV	7	advmod	en
train-s5	1	PRON	2	nsubj	en
train-s5	2	VERB	0	root	en
train-s5	3	NOUN	2	obj	en
train-s5	4	PRON	7	obj	hi
train-s5	5	ADP	4	case	hi
train-s5	6	PRON	7	nsubj	en
train-s5	7	VERB	3	acl:relcl	en
train-s5	8	ADJ	9	amod	en
train-s5	9	NOUN	7	nmod	en
train-s5	10	CCONJ	12	cc	en
train-s5	11	PRON	12	nsubj	en
train-s5	12	VERB	7	conj	en
train-s5	13	ADP	15	case	en
train-s5	14	ADJ	15	amod	en
train-s5	15	NOUN	12	obl	en
train-s6	2	PRON	3	nsubj	en
train-s6	3	VERB	0	root	en
train-s6	4	VERB	3	xcomp	en
train-s6	5	SCONJ	7	mark	en
train-s6	7	VERB	3	advcl	hi
train-s6	8	AUX	7	aux	hi
train-s6	9	AUX	7	aux	hi
train-s6	11	ADV	12	advmod	en
train-s6	12	ADJ	3	parataxis	en
train-s7	2	NOUN	4	nmod	hi
train-s7	3	ADP	2	case	hi
train-s7	4	NOUN	6	nsubj	hi
train-s7	5	DET	6	det	en
train-s7	6	NOUN	0	root	en
train-s7	7	ADP	9	case	en
train-s7	8	DET	9	det	en
train-s7	9	NOUN	6	nmod	hi
train-s7	10	PART	11	mark	en
train-s7	11	VERB	6	advcl	en
train-s7	12	DET	13	det	en
train-s7	13	NOUN	11	obj	en
train-s8	2	PRON	3	nmod	en
train-s8	3	NOUN	6	nsubj	en
train-s8	4	AUX	6	cop	en
train-s8	5	ADP	6	case	en
train-s8	7	CCONJ	18	cc	hi
train-s8	8	PRON	9	nmod	hi
train-s8	9	NOUN	11	obj	hi
train-s8	10	VERB	11	compound	hi
train-s8	11	VERB	18	advcl	hi
train-s8	12	AUX	11	aux	hi
train-s8	13	NOUN	18	obl	hi
train-s8	14	ADP	13	case	hi
