sent_id	tok_i_id	tok_j_id	upos_i	upos_j	deprel_i	deprel_j	lang_i	lang_j	switch	relation
1001	1	2	NOUN	VERB	nmod	dep	te	en	true	within
1001	2	3	VERB	VERB	dep	root	en	te	true	within
1002	1	2	NOUN	NOUN	nmod	root	en	en	false	within
1002	2	3	NOUN	ADJ	root	advmod	en	te	true	within
1003	1	2	NOUN	ADP	nmod	case	en	te	true	within
1003	2	3	ADP	NOUN	case	nsubj	te	en	true	within
1003	3	4	NOUN	VERB	nsubj	root	en	te	true	within
1004	1	2	VERB	PRON	advcl	nmod	te	te	false	boundary
1004	2	3	PRON	NOUN	nmod	obj	te	en	true	within
1004	3	4	NOUN	VERB	obj	root	en	te	true	within
1005	1	2	PRON	DET	nsubj	det	te	te	false	boundary
1005	2	3	DET	NOUN	det	obj	te	en	true	within
1005	3	4	NOUN	VERB	obj	root	en	te	true	within
1006	1	2	PRON	DET	nsubj	det	te	te	false	boundary
1006	2	3	DET	NOUN	det	obj	te	en	true	within
1006	3	4	NOUN	VERB	obj	root	en	te	true	within
1007	1	2	PRON	DET	nsubj	det	te	te	false	boundary
1007	2	3	DET	ADJ	det	amod	te	en	true	within
1007	3	4	ADJ	NOUN	amod	obl	en	te	true	within
1007	4	5	NOUN	VERB	obl	root	te	te	false	within
1008	1	2	PRON	NOUN	nmod	root	te	en	true	within
1008	2	3	NOUN	ADV	root	advmod	en	te	true	within
1008	3	4	ADV	ADV	advmod	advmod	te	te	false	within
1008	4	5	ADV	NOUN	advmod	obj	te	te	false	within
1009	1	2	VERB	PRON	root	obj	te	te	false	within
1009	2	3	PRON	NOUN	obj	obj	te	en	true	within
1010	1	2	PRON	NOUN	nmod	nsubj	te	en	true	within
1010	2	3	NOUN	PRON	nsubj	root	en	te	true	within
1011	1	2	PRON	VERB	nsubj	root	te	te	false	within
1011	2	3	VERB	NOUN	root	xcomp	te	en	true	within
1012	1	2	PRON	ADV	nsubj	advmod	te	te	false	within
1012	2	3	ADV	NOUN	advmod	obj	te	en	true	within
1012	3	4	NOUN	VERB	obj	root	en	te	true	within
1013	1	2	PRON	NOUN	nsubj	compound	te	en	true	within
1013	2	3	NOUN	VERB	compound	root	en	te	true	within
1014	1	2	PRON	NOUN	nsubj	nmod	te	te	false	within
1014	2	3	NOUN	NOUN	nmod	root	te	en	true	within
1015	1	2	PRON	NOUN	obj	nsubj	te	en	true	within
1015	2	3	NOUN	VERB	nsubj	root	en	te	true	within
1016	1	2	NOUN	VERB	obj	advcl	en	te	true	within
1016	2	3	VERB	PRON	advcl	nsubj	te	te	false	within
1016	3	4	PRON	VERB	nsubj	root	te	te	false	within
1017	1	2	PROPN	PROPN	nsubj	iobj	te	te	false	within
1017	2	3	PROPN	NOUN	iobj	obj	te	en	true	within
1017	3	4	NOUN	VERB	obj	root	en	te	true	within
1018	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
1018	2	3	NOUN	VERB	obj	root	en	te	true	within
1019	1	2	PRON	PROPN	nsubj	compound	te	en	true	boundary
1019	2	3	PROPN	PRON	compound	obj	en	te	true	within
1019	3	4	PRON	VERB	obj	root	te	te	false	within
1020	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
1020	2	3	NOUN	VERB	obj	root	en	te	true	within
1021	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
1021	2	3	NOUN	VERB	obj	root	en	te	true	within
1022	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
1022	2	3	NOUN	VERB	obj	root	en	te	true	within
1023	1	2	PRON	DET	nsubj	det	te	te	false	boundary
1023	2	3	DET	NOUN	det	nmod	te	en	true	within
1023	3	4	NOUN	NOUN	nmod	root	en	te	true	within
1024	1	2	PRON	NOUN	nmod	obl	te	te	false	within
1024	2	3	NOUN	DET	obl	det	te	te	false	boundary
1024	3	4	DET	NOUN	det	nsubj	te	en	true	within
1024	4	5	NOUN	VERB	nsubj	root	en	te	true	within
1025	1	2	PRON	DET	nsubj	det	te	te	false	boundary
1025	2	3	DET	NOUN	det	compound	te	en	true	within
1025	3	4	NOUN	NOUN	compound	obj	en	en	false	within
1025	4	5	NOUN	VERB	obj	root	en	te	true	within
1026	1	2	PROPN	ADV	nsubj	advmod	te	te	false	within
1026	2	3	ADV	NUM	advmod	nummod	te	en	true	boundary
1026	3	4	NUM	NOUN	nummod	obl	en	en	false	within
1026	4	5	NOUN	VERB	obl	root	en	te	true	within
1027	1	2	NOUN	NOUN	nummod	nsubj	te	en	true	within
1027	2	3	NOUN	VERB	nsubj	root	en	en	false	within
1027	3	4	VERB	VERB	root	obj	en	te	true	within
1028	1	2	PRON	PROPN	nsubj	nmod	te	en	true	within
1028	2	3	PROPN	NOUN	nmod	root	en	en	false	within
1028	3	4	NOUN	VERB	root	nsubj	en	te	true	within
1028	4	5	VERB	ADJ	nsubj	xcomp	te	te	false	within
1029	1	2	PROPN	PRON	nsubj	obl	en	te	true	within
1029	2	3	PRON	DET	obl	det	te	_	unknown	within
1029	3	4	DET	NOUN	det	root	_	en	unknown	within
1029	4	5	NOUN	VERB	root	compound	en	te	true	within
1030	1	2	PROPN	PROPN	compound	nsubj	en	en	false	within
1030	2	3	PROPN	ADV	nsubj	advmod	en	te	true	within
1030	3	4	ADV	ADJ	advmod	root	te	te	false	within
1031	1	2	PRON	DET	iobj	det	te	te	false	boundary
1031	2	3	DET	NOUN	det	obj	te	en	true	within
1031	3	4	NOUN	VERB	obj	compound	en	te	true	within
1031	4	5	VERB	VERB	compound	root	te	te	false	within
1032	1	2	PRON	NOUN	nsubj	obj	te	en	true	within
